code,name,list_date,exchange,board,industry,risk_flag,years_listed,eligible
000001,平安银行,1991-04-03,SZ,主板,J 金融业,False,35.4,True
000002,万科Ａ,1991-01-29,SZ,主板,K 房地产,False,35.6,True
000006,深振业Ａ,1992-04-27,SZ,主板,K 房地产,False,34.4,True
000007,全新好,1992-04-13,SZ,主板,K 房地产,False,34.4,True
000008,神州高铁,1992-05-07,SZ,主板,C 制造业,False,34.3,True
000009,中国宝安,1991-06-25,SZ,主板,J 金融业,False,35.2,True
000010,*ST美丽,1995-10-27,SZ,主板,E 建筑业,True,30.9,True
000011,深物业A,1992-03-30,SZ,主板,K 房地产,False,34.4,True
000012,南玻Ａ,1992-02-28,SZ,主板,C 制造业,False,34.5,True
000014,沙河股份,1992-06-02,SZ,主板,K 房地产,False,34.3,True
000016,*ST康佳A,1992-03-27,SZ,主板,C 制造业,True,34.4,True
000017,深中华A,1992-03-31,SZ,主板,C 制造业,False,34.4,True
000019,深粮控股,1992-10-12,SZ,主板,F 批发零售,False,33.9,True
000020,深华发Ａ,1992-04-28,SZ,主板,C 制造业,False,34.4,True
000021,深科技,1994-02-02,SZ,主板,C 制造业,False,32.6,True
000025,特力Ａ,1993-06-21,SZ,主板,F 批发零售,False,33.2,True
000026,飞亚达,1993-06-03,SZ,主板,F 批发零售,False,33.3,True
000027,深圳能源,1993-09-03,SZ,主板,D 水电煤气,False,33.0,True
000028,国药一致,1993-08-09,SZ,主板,F 批发零售,False,33.1,True
000029,深深房Ａ,1993-09-15,SZ,主板,K 房地产,False,33.0,True
000030,富奥股份,1993-09-29,SZ,主板,C 制造业,False,32.9,True
000031,大悦城,1993-10-08,SZ,主板,K 房地产,False,32.9,True
000032,深桑达Ａ,1993-10-28,SZ,主板,E 建筑业,False,32.9,True
000034,神州数码,1994-05-09,SZ,主板,F 批发零售,False,32.3,True
000035,中国天楹,1994-04-08,SZ,主板,N 公共环保,False,32.4,True
000036,华联控股,1994-06-17,SZ,主板,K 房地产,False,32.2,True
000037,深南电A,1994-07-01,SZ,主板,D 水电煤气,False,32.2,True
000039,中集集团,1994-04-08,SZ,主板,C 制造业,False,32.4,True
000042,中洲控股,1994-09-21,SZ,主板,K 房地产,False,32.0,True
000045,深纺织Ａ,1994-08-15,SZ,主板,C 制造业,False,32.1,True
000048,京基智农,1994-11-01,SZ,主板,A 农林牧渔,False,31.8,True
000049,德赛电池,1995-03-20,SZ,主板,C 制造业,False,31.5,True
000050,深天马Ａ,1995-03-15,SZ,主板,C 制造业,False,31.5,True
000055,方大集团,1996-04-15,SZ,主板,C 制造业,False,30.4,True
000056,*ST皇庭,1996-07-08,SZ,主板,L 商务服务,True,30.2,True
000058,深赛格,1996-12-26,SZ,主板,L 商务服务,False,29.7,True
000059,华锦股份,1997-01-30,SZ,主板,C 制造业,False,29.6,True
000060,中金岭南,1997-01-23,SZ,主板,C 制造业,False,29.6,True
000061,农产品,1997-01-10,SZ,主板,L 商务服务,False,29.7,True
000062,深圳华强,1997-01-30,SZ,主板,F 批发零售,False,29.6,True
000063,中兴通讯,1997-11-18,SZ,主板,C 制造业,False,28.8,True
000065,北方国际,1998-06-05,SZ,主板,F 批发零售,False,28.3,True
000066,中国长城,1997-06-26,SZ,主板,C 制造业,False,29.2,True
000068,华控赛格,1997-06-11,SZ,主板,F 批发零售,False,29.2,True
000069,华侨城Ａ,1997-09-10,SZ,主板,K 房地产,False,29.0,True
000070,特发信息,2000-05-11,SZ,主板,C 制造业,False,26.3,True
000078,ST海王,1998-12-18,SZ,主板,F 批发零售,True,27.7,True
000088,盐田港,1997-07-28,SZ,主板,G 运输仓储,False,29.1,True
000089,深圳机场,1998-04-20,SZ,主板,G 运输仓储,False,28.4,True
000090,天健集团,1999-07-21,SZ,主板,E 建筑业,False,27.1,True
000096,广聚能源,2000-07-24,SZ,主板,F 批发零售,False,26.1,True
000099,中信海直,2000-07-31,SZ,主板,G 运输仓储,False,26.1,True
000100,TCL科技,2004-01-30,SZ,主板,C 制造业,False,22.6,True
000151,中成股份,2000-09-06,SZ,主板,F 批发零售,False,26.0,True
000153,丰原药业,2000-09-20,SZ,主板,C 制造业,False,26.0,True
000155,川能动力,2000-09-26,SZ,主板,D 水电煤气,False,25.9,True
000156,华数传媒,2000-09-06,SZ,主板,I 信息技术,False,26.0,True
000157,中联重科,2000-10-12,SZ,主板,C 制造业,False,25.9,True
000158,常山北明,2000-07-24,SZ,主板,I 信息技术,False,26.1,True
000159,国际实业,2000-09-26,SZ,主板,F 批发零售,False,25.9,True
000166,申万宏源,2015-01-26,SZ,主板,J 金融业,False,11.6,True
000301,东方盛虹,2000-05-29,SZ,主板,C 制造业,False,26.3,True
000333,美的集团,2013-09-18,SZ,主板,C 制造业,False,13.0,True
000338,潍柴动力,2007-04-30,SZ,主板,C 制造业,False,19.4,True
000400,许继电气,1997-04-18,SZ,主板,C 制造业,False,29.4,True
000401,金隅冀东,1996-06-14,SZ,主板,C 制造业,False,30.2,True
000402,金融街,1996-06-26,SZ,主板,K 房地产,False,30.2,True
000403,派林生物,1996-06-28,SZ,主板,C 制造业,False,30.2,True
000404,长虹华意,1996-06-19,SZ,主板,C 制造业,False,30.2,True
000407,胜利股份,1996-07-03,SZ,主板,D 水电煤气,False,30.2,True
000408,藏格矿业,1996-06-28,SZ,主板,C 制造业,False,30.2,True
000409,云鼎科技,1996-06-27,SZ,主板,I 信息技术,False,30.2,True
000410,沈阳机床,1996-07-18,SZ,主板,C 制造业,False,30.1,True
000411,英特集团,1996-07-16,SZ,主板,F 批发零售,False,30.1,True
000415,渤海租赁,1996-07-16,SZ,主板,L 商务服务,False,30.1,True
000417,合百集团,1996-08-12,SZ,主板,F 批发零售,False,30.1,True
000419,通程控股,1996-08-16,SZ,主板,F 批发零售,False,30.1,True
000420,吉林化纤,1996-08-02,SZ,主板,C 制造业,False,30.1,True
000421,南京公用,1996-08-06,SZ,主板,D 水电煤气,False,30.1,True
000422,湖北宜化,1996-08-15,SZ,主板,C 制造业,False,30.1,True
000423,东阿阿胶,1996-07-29,SZ,主板,C 制造业,False,30.1,True
000425,徐工机械,1996-08-28,SZ,主板,C 制造业,False,30.0,True
000426,兴业银锡,1996-08-28,SZ,主板,B 采矿业,False,30.0,True
000428,华天酒店,1996-08-08,SZ,主板,H 住宿餐饮,False,30.1,True
000429,粤高速Ａ,1998-02-20,SZ,主板,G 运输仓储,False,28.5,True
000430,张家界,1996-08-29,SZ,主板,N 公共环保,False,30.0,True
000488,ST晨鸣,2000-11-20,SZ,主板,C 制造业,True,25.8,True
000498,山东路桥,1997-06-09,SZ,主板,E 建筑业,False,29.2,True
000501,武商集团,1992-11-20,SZ,主板,F 批发零售,False,33.8,True
000503,国新健康,1992-11-30,SZ,主板,I 信息技术,False,33.8,True
000504,南华生物,1992-12-08,SZ,主板,M 科研服务,False,33.7,True
000505,京粮控股,1992-12-21,SZ,主板,C 制造业,False,33.7,True
000506,招金黄金,1993-03-12,SZ,主板,B 采矿业,False,33.5,True
000507,珠海港,1993-03-26,SZ,主板,G 运输仓储,False,33.4,True
000509,华塑控股,1993-05-07,SZ,主板,C 制造业,False,33.3,True
000510,新金路,1993-05-07,SZ,主板,C 制造业,False,33.3,True
000513,丽珠集团,1993-10-28,SZ,主板,C 制造业,False,32.9,True
000514,渝开发,1993-07-12,SZ,主板,K 房地产,False,33.2,True
000516,国际医学,1993-08-09,SZ,主板,Q 卫生,False,33.1,True
000517,荣安地产,1993-08-06,SZ,主板,K 房地产,False,33.1,True
000518,四环生物,1993-09-08,SZ,主板,C 制造业,False,33.0,True
000519,中兵红箭,1993-10-08,SZ,主板,C 制造业,False,32.9,True
000520,凤凰航运,1993-10-25,SZ,主板,G 运输仓储,False,32.9,True
000521,长虹美菱,1993-10-18,SZ,主板,C 制造业,False,32.9,True
000523,红棉股份,1993-11-08,SZ,主板,C 制造业,False,32.8,True
000524,岭南控股,1993-11-18,SZ,主板,L 商务服务,False,32.8,True
000525,红太阳,1993-10-28,SZ,主板,C 制造业,False,32.9,True
000526,学大教育,1993-11-01,SZ,主板,P 教育,False,32.8,True
000528,柳工,1993-11-18,SZ,主板,C 制造业,False,32.8,True
000529,广弘控股,1993-11-18,SZ,主板,C 制造业,False,32.8,True
000530,冰山冷热,1993-12-08,SZ,主板,C 制造业,False,32.7,True
000531,穗恒运Ａ,1994-01-06,SZ,主板,D 水电煤气,False,32.7,True
000532,华金资本,1994-01-03,SZ,主板,S 综合,False,32.7,True
000533,顺钠股份,1994-01-03,SZ,主板,C 制造业,False,32.7,True
000534,万泽股份,1994-01-10,SZ,主板,C 制造业,False,32.7,True
000536,华映科技,1993-11-26,SZ,主板,C 制造业,False,32.8,True
000537,绿发电力,1993-12-10,SZ,主板,D 水电煤气,False,32.7,True
000538,云南白药,1993-12-15,SZ,主板,C 制造业,False,32.7,True
